( 300, 0.0 )
( 340, 69.1 )
( 380, 67.2 )
( 420, 277.7 )
( 460, 82.2 )
( 500, 119.4 )
( 540, 291.4 )
( 580, 301.2 )
( 620, 215.1 )
( 660, 194.8 )
( 700, 156.7 )
( 740, 211.9 )
( 780, 264.6 )
( 820, 213.3 )
( 860, 324.2 )
( 900, 339.4 )
( 940, 326.6 )
( 980, 374.3 )
( 1020, 436.8 )
( 1060, 281.2 )
( 1100, 484.6 )
( 1140, 309.3 )
( 1180, 254.5 )
( 1220, 396.5 )
( 1260, 600.2 )
( 1300, 697.4 )
( 1340, 700.5 )
( 1380, 667.5 )
( 1420, 573.9 )
( 1460, 1018.7 )
( 1500, 525.9 )
( 1540, 744.4 )
( 1580, 704.1 )
( 1620, 555.6 )
( 1660, 841.0 )
( 1700, 539.6 )
( 1740, 702.1 )
( 1780, 556.0 )
( 1820, 837.5 )
( 1860, 964.2 )
( 1900, 553.2 )
( 1940, 1215.8 )
( 1980, 1031.0 )
( 2020, 1058.0 )
( 2060, 1075.4 )
( 2100, 779.8 )
( 2140, 1005.5 )
( 2180, 1097.8 )
( 2220, 1045.4 )
( 2260, 1044.0 )
( 2300, 1020.4 )
( 2340, 1356.6 )
( 2380, 1047.1 )
( 2420, 1220.5 )
( 2460, 1057.0 )
( 2500, 1095.9 )
( 2540, 1335.2 )
( 2580, 1439.5 )
( 2620, 1438.3 )
( 2660, 1478.8 )
( 2700, 1962.7 )
( 2740, 1745.5 )
( 2780, 1555.2 )
( 2820, 1835.8 )
( 2860, 1496.5 )
( 2900, 1687.3 )
( 2940, 1999.5 )
( 2980, 1685.9 )
( 3020, 2307.1 )
( 3060, 1716.7 )
( 3100, 1695.1 )
( 3140, 2429.6 )
( 3180, 2072.2 )
( 3220, 2012.7 )
( 3260, 1685.0 )
( 3300, 2955.5 )
( 3340, 1715.4 )
( 3380, 2153.2 )
( 3420, 2303.1 )
( 3460, 2045.5 )
( 3500, 2274.2 )
( 3540, 2647.6 )
( 3580, 1727.6 )
