( 130, 670.35 )
( 210, 1000.7 )
( 290, 1197.5 )
( 374, 1249.9 )
( 454, 1444.95 )
( 534, 1492.6 )
( 614, 1497.8 )
( 694, 1509.55 )
( 774, 1513.35 )
( 854, 1524.7 )
( 934, 1567.55 )
( 1014, 1580.15 )
( 1094, 1499.75 )
( 1174, 1580.15 )
( 1254, 1517.95 )
( 1334, 1546.75 )
( 1414, 1577.95 )
( 1498, 1553.0 )
( 1578, 1600.55 )
( 1658, 1583.35 )
( 1738, 1639.65 )
( 1818, 1597.3 )
( 1898, 1592.0 )
( 1978, 1621.0 )
( 2058, 1623.45 )
( 2138, 1621.25 )
( 2218, 1696.3 )
( 2298, 1652.15 )
( 2378, 1674.95 )
( 2458, 1696.0 )
( 2538, 1685.75 )
( 2618, 1744.4 )
( 2698, 1713.2 )
( 2778, 1785.05 )
( 2858, 1719.45 )
( 2938, 1771.45 )
( 3018, 1793.0 )
( 3098, 1809.35 )
( 3178, 1779.85 )
( 3258, 1750.5 )
( 3338, 1798.25 )
( 3418, 1834.75 )
( 3498, 1826.5 )
( 3578, 1761.45 )

