( 5, 0 )
( 10, 0 )
( 15, 0 )
( 20, 0 )
( 25, 0 )
( 30, 0 )
( 35, 1 )
( 40, 1 )
( 45, 2 )
( 50, 2 )
( 55, 3 )
( 60, 3 )
( 65, 4 )
( 70, 4 )
( 75, 4 )
( 80, 5 )
( 85, 5 )
( 90, 6 )
( 95, 6 )
( 100, 7 )
( 105, 7 )
( 110, 8 )
( 115, 10 )
( 120, 11 )
( 125, 13 )
( 130, 14 )
( 135, 16 )
( 140, 18 )
( 145, 19 )
( 150, 21 )
( 155, 24 )
( 160, 25 )
( 165, 26 )
( 170, 27 )
( 175, 29 )
( 180, 30 )
( 185, 31 )
( 190, 33 )
( 195, 37 )
( 200, 39 )
( 205, 40 )
( 210, 41 )
( 215, 42 )
( 220, 44 )
( 225, 46 )
( 230, 49 )
( 235, 50 )
( 240, 51 )
( 245, 53 )
( 250, 54 )
( 255, 55 )
( 260, 57 )
( 265, 58 )
( 270, 60 )
( 275, 63 )
( 280, 64 )
( 285, 66 )
( 290, 67 )
( 295, 69 )
( 300, 71 )
( 305, 73 )
( 310, 74 )
( 315, 76 )
( 320, 76 )
( 325, 77 )
( 330, 78 )
( 335, 81 )
( 340, 83 )
( 345, 84 )
( 350, 85 )
( 355, 87 )
( 360, 87 )
( 365, 90 )
( 370, 92 )
( 375, 95 )
( 380, 96 )
( 385, 97 )
( 390, 99 )
( 395, 101 )
( 400, 102 )
( 405, 104 )
( 410, 105 )
( 415, 106 )
( 420, 107 )
( 425, 108 )
( 430, 110 )
( 435, 110 )
( 440, 111 )
( 445, 113 )
( 450, 115 )
( 455, 117 )
( 460, 118 )
( 465, 119 )
( 470, 120 )
( 475, 121 )
( 480, 123 )
( 485, 125 )
( 490, 126 )
( 495, 128 )
( 500, 129 )
( 505, 131 )
( 510, 134 )
( 515, 135 )
( 520, 137 )
( 525, 139 )
( 530, 141 )
( 535, 142 )
( 540, 144 )
( 545, 145 )
( 550, 146 )
( 555, 147 )
( 560, 149 )
( 565, 150 )
( 570, 152 )
( 575, 153 )
( 580, 157 )
( 585, 159 )
( 590, 162 )
( 595, 165 )
( 600, 169 )
( 605, 174 )
( 610, 178 )
( 615, 182 )
( 620, 186 )
( 625, 189 )
( 630, 193 )
( 635, 196 )
( 640, 200 )
( 645, 204 )
( 650, 208 )
( 655, 213 )
( 660, 217 )
( 665, 220 )
( 670, 224 )
( 675, 227 )
( 680, 231 )
( 685, 235 )
( 690, 238 )
( 695, 241 )
( 700, 243 )
( 705, 245 )
( 710, 248 )
( 715, 251 )
( 720, 255 )
( 725, 257 )
( 730, 260 )
( 735, 262 )
( 740, 266 )
( 745, 271 )
( 750, 276 )
( 755, 280 )
( 760, 283 )
( 765, 288 )
( 770, 291 )
( 775, 295 )
( 780, 298 )
( 785, 300 )
( 790, 303 )
( 795, 307 )
( 800, 310 )
( 805, 313 )
( 810, 319 )
( 815, 321 )
( 820, 323 )
( 825, 327 )
( 830, 330 )
( 835, 333 )
( 840, 336 )
( 845, 339 )
( 850, 342 )
( 855, 345 )
( 860, 347 )
( 865, 352 )
( 870, 358 )
( 875, 359 )
( 880, 362 )
( 885, 365 )
( 890, 367 )
( 895, 371 )
( 900, 375 )
( 905, 381 )
( 910, 383 )
( 915, 385 )
( 920, 387 )
( 925, 389 )
( 930, 392 )
( 935, 394 )
( 940, 397 )
( 945, 401 )
( 950, 403 )
( 955, 406 )
( 960, 408 )
( 965, 411 )
( 970, 414 )
( 975, 417 )
( 980, 419 )
( 985, 423 )
( 990, 425 )
( 995, 429 )
( 1000, 432 )
( 1005, 436 )
( 1010, 440 )
( 1015, 444 )
( 1020, 447 )
( 1025, 450 )
( 1030, 453 )
( 1035, 457 )
( 1040, 461 )
( 1045, 465 )
( 1050, 469 )
( 1055, 477 )
( 1060, 482 )
( 1065, 488 )
( 1070, 493 )
( 1075, 502 )
( 1080, 507 )
( 1085, 513 )
( 1090, 520 )
( 1095, 527 )
( 1100, 533 )
( 1105, 537 )
( 1110, 541 )
( 1115, 547 )
( 1120, 552 )
( 1125, 561 )
( 1130, 568 )
( 1135, 578 )
( 1140, 584 )
( 1145, 591 )
( 1150, 598 )
( 1155, 607 )
( 1160, 615 )
( 1165, 623 )
( 1170, 631 )
( 1175, 638 )
( 1180, 644 )
( 1185, 653 )
( 1190, 661 )
( 1195, 668 )
( 1200, 672 )
( 1205, 678 )
( 1210, 687 )
( 1215, 694 )
( 1220, 703 )
( 1225, 709 )
( 1230, 716 )
( 1235, 723 )
( 1240, 732 )
( 1245, 740 )
( 1250, 746 )
( 1255, 752 )
( 1260, 763 )
( 1265, 772 )
( 1270, 777 )
( 1275, 785 )
( 1280, 793 )
( 1285, 800 )
( 1290, 806 )
( 1295, 815 )
( 1300, 822 )
( 1305, 827 )
( 1310, 832 )
( 1315, 837 )
( 1320, 844 )
( 1325, 849 )
( 1330, 855 )
( 1335, 859 )
( 1340, 866 )
( 1345, 872 )
( 1350, 876 )
( 1355, 882 )
( 1360, 888 )
( 1365, 892 )
( 1370, 898 )
( 1375, 905 )
( 1380, 910 )
( 1385, 916 )
( 1390, 920 )
( 1395, 924 )
( 1400, 927 )
( 1405, 933 )
( 1410, 939 )
( 1415, 944 )
( 1420, 949 )
( 1425, 955 )
( 1430, 959 )
( 1435, 963 )
( 1440, 968 )
( 1445, 973 )
( 1450, 979 )
( 1455, 982 )
( 1460, 987 )
( 1465, 992 )
( 1470, 997 )
( 1475, 1003 )
( 1480, 1008 )
( 1485, 1014 )
( 1490, 1019 )
( 1495, 1022 )
( 1500, 1028 )
( 1505, 1034 )
( 1510, 1039 )
( 1515, 1045 )
( 1520, 1051 )
( 1525, 1058 )
( 1530, 1065 )
( 1535, 1073 )
( 1540, 1081 )
( 1545, 1088 )
( 1550, 1094 )
( 1555, 1101 )
( 1560, 1109 )
( 1565, 1115 )
( 1570, 1124 )
( 1575, 1135 )
( 1580, 1144 )
( 1585, 1151 )
( 1590, 1157 )
( 1595, 1164 )
( 1600, 1174 )
( 1605, 1186 )
( 1610, 1195 )
( 1615, 1203 )
( 1620, 1211 )
( 1625, 1220 )
( 1630, 1230 )
( 1635, 1238 )
( 1640, 1247 )
( 1645, 1256 )
( 1650, 1264 )
( 1655, 1271 )
( 1660, 1281 )
( 1665, 1289 )
( 1670, 1297 )
( 1675, 1306 )
( 1680, 1316 )
( 1685, 1325 )
( 1690, 1333 )
( 1695, 1342 )
( 1700, 1351 )
( 1705, 1359 )
( 1710, 1368 )
( 1715, 1375 )
( 1720, 1383 )
( 1725, 1389 )
( 1730, 1397 )
( 1735, 1402 )
( 1740, 1409 )
( 1745, 1415 )
( 1750, 1421 )
( 1755, 1427 )
( 1760, 1436 )
( 1765, 1443 )
( 1770, 1452 )
( 1775, 1457 )
( 1780, 1463 )
( 1785, 1468 )
( 1790, 1476 )
( 1795, 1484 )
( 1800, 1491 )
( 1805, 1499 )
( 1810, 1506 )
( 1815, 1512 )
( 1820, 1517 )
( 1825, 1525 )
( 1830, 1532 )
( 1835, 1540 )
( 1840, 1544 )
( 1845, 1550 )
( 1850, 1556 )
