( 86, 314.8 )
( 126, 601.9 )
( 166, 898.4 )
( 206, 1122.5 )
( 246, 1380.9 )
( 286, 1659.6 )
( 326, 1843.9 )
( 366, 2013.0 )
( 406, 2204.1 )
( 446, 2340.1 )
( 486, 2481.6 )
( 530, 2563.8 )
( 570, 2810.9 )
( 614, 2808.3 )
( 654, 3099.7 )
( 698, 3150.2 )
( 738, 3215.0 )
( 778, 3062.2 )
( 818, 3247.9 )
( 858, 3320.3 )
( 898, 3384.8 )
( 938, 3536.7 )
( 978, 3364.7 )
( 1018, 3471.3 )
( 1058, 3385.6 )
( 1098, 3578.3 )
( 1138, 3751.0 )
( 1178, 3624.9 )
( 1218, 3740.6 )
( 1258, 3787.9 )
( 1298, 3821.2 )
( 1338, 3628.4 )
( 1378, 3916.5 )
( 1418, 3926.8 )
( 1458, 4006.8 )
( 1498, 3782.3 )
( 1538, 4234.3 )
( 1578, 4119.4 )
( 1618, 4185.9 )
( 1658, 4379.4 )
( 1698, 4127.6 )
( 1738, 4353.2 )
( 1778, 4335.9 )
( 1818, 4716.6 )
( 1858, 4719.6 )
( 1898, 4737.2 )
( 1938, 4850.8 )
( 1978, 4690.3 )
( 2018, 4938.0 )
( 2058, 5072.9 )
( 2098, 5379.9 )
( 2138, 5204.0 )
( 2178, 5193.7 )
( 2218, 5395.6 )
( 2258, 5499.4 )
( 2298, 5221.1 )
( 2338, 5996.9 )
( 2378, 5719.4 )
( 2418, 5796.9 )
( 2458, 5964.8 )
( 2498, 5942.3 )
( 2538, 5929.7 )
( 2578, 5708.4 )
( 2618, 5978.8 )
( 2662, 6388.4 )
( 2702, 6429.2 )
( 2742, 6307.7 )
( 2782, 6265.3 )
( 2822, 6404.5 )
( 2862, 6168.3 )
( 2902, 6391.2 )
( 2942, 6696.6 )
( 2986, 6690.9 )
( 3026, 6768.4 )
( 3066, 6534.7 )
( 3106, 6902.5 )
( 3146, 6825.9 )
( 3186, 7011.2 )
( 3226, 7293.2 )
( 3266, 6552.4 )
( 3306, 6937.2 )
( 3346, 7279.9 )
( 3386, 7322.5 )
( 3426, 7572.7 )
( 3466, 7287.4 )
( 3506, 7586.6 )
( 3546, 7334.0 )
( 3586, 7766.7 )
