( 86, 0.3 )
( 126, 1.9 )
( 166, 3.8 )
( 206, 7.3 )
( 246, 14.8 )
( 286, 33.9 )
( 326, 39.7 )
( 366, 113.6 )
( 406, 116.9 )
( 446, 151.2 )
( 486, 231.8 )
( 530, 337.6 )
( 570, 276.2 )
( 614, 346.1 )
( 654, 352.1 )
( 698, 631.6 )
( 738, 490.0 )
( 778, 857.2 )
( 818, 901.2 )
( 858, 938.9 )
( 898, 1085.4 )
( 938, 1008.6 )
( 978, 1070.9 )
( 1018, 1166.2 )
( 1058, 1188.3 )
( 1098, 1439.2 )
( 1138, 1440.1 )
( 1178, 2049.7 )
( 1218, 1802.5 )
( 1258, 2025.0 )
( 1298, 2177.9 )
( 1338, 2157.1 )
( 1378, 2237.8 )
( 1418, 2079.7 )
( 1458, 2237.5 )
( 1498, 2678.0 )
( 1538, 2336.6 )
( 1578, 2324.0 )
( 1618, 2545.3 )
( 1658, 2541.5 )
( 1698, 2734.6 )
( 1738, 2559.2 )
( 1778, 2622.1 )
( 1818, 2696.0 )
( 1858, 2584.9 )
( 1898, 2666.7 )
( 1938, 2463.5 )
( 1978, 2329.7 )
( 2018, 2595.1 )
( 2058, 2701.6 )
( 2098, 2591.1 )
( 2138, 2575.5 )
( 2178, 2542.9 )
( 2218, 2641.7 )
( 2258, 2616.4 )
( 2298, 2671.1 )
( 2338, 2660.8 )
( 2378, 2807.4 )
( 2418, 2724.3 )
( 2458, 2512.5 )
( 2498, 2726.3 )
( 2538, 2752.8 )
( 2578, 2768.0 )
( 2618, 2622.6 )
( 2662, 2641.6 )
( 2702, 2783.2 )
( 2742, 2581.1 )
( 2782, 2659.6 )
( 2822, 3030.1 )
( 2862, 2716.1 )
( 2902, 2847.9 )
( 2942, 2645.9 )
( 2986, 2767.3 )
( 3026, 2760.6 )
( 3066, 2809.1 )
( 3106, 2693.8 )
( 3146, 2863.7 )
( 3186, 2904.0 )
( 3226, 2626.7 )
( 3266, 2389.4 )
( 3306, 2849.1 )
( 3346, 2623.6 )
( 3386, 2887.4 )
( 3426, 2765.7 )
( 3466, 2683.7 )
( 3506, 2718.3 )
( 3546, 2890.9 )
( 3586, 2889.4 )
