( 5, 0 )
( 10, 5 )
( 15, 48 )
( 20, 149 )
( 25, 264 )
( 30, 359 )
( 35, 443 )
( 40, 527 )
( 45, 609 )
( 50, 682 )
( 55, 759 )
( 60, 830 )
( 65, 892 )
( 70, 956 )
( 75, 1008 )
( 80, 1058 )
( 85, 1108 )
( 90, 1158 )
( 95, 1203 )
( 100, 1248 )
( 105, 1289 )
( 110, 1328 )
( 115, 1365 )
( 120, 1402 )
( 125, 1439 )
( 130, 1472 )
( 135, 1502 )
( 140, 1531 )
( 145, 1556 )
( 150, 1581 )
( 155, 1610 )
( 160, 1636 )
( 165, 1662 )
( 170, 1686 )
( 175, 1711 )
( 180, 1732 )
( 185, 1757 )
( 190, 1780 )
( 195, 1805 )
( 200, 1827 )
( 205, 1852 )
( 210, 1875 )
( 215, 1897 )
( 220, 1919 )
( 225, 1943 )
( 230, 1965 )
( 235, 1991 )
( 240, 2019 )
( 245, 2040 )
( 250, 2064 )
( 255, 2087 )
( 260, 2109 )
( 265, 2129 )
( 270, 2151 )
( 275, 2170 )
( 280, 2189 )
( 285, 2207 )
( 290, 2225 )
( 295, 2244 )
( 300, 2262 )
( 305, 2278 )
( 310, 2295 )
( 315, 2311 )
( 320, 2328 )
( 325, 2344 )
( 330, 2361 )
( 335, 2375 )
( 340, 2390 )
( 345, 2405 )
( 350, 2421 )
( 355, 2436 )
( 360, 2451 )
( 365, 2463 )
( 370, 2475 )
( 375, 2489 )
( 380, 2505 )
( 385, 2519 )
( 390, 2533 )
( 395, 2547 )
( 400, 2561 )
( 405, 2576 )
( 410, 2591 )
( 415, 2604 )
( 420, 2616 )
( 425, 2629 )
( 430, 2641 )
( 435, 2653 )
( 440, 2665 )
( 445, 2676 )
( 450, 2688 )
( 455, 2699 )
( 460, 2709 )
( 465, 2721 )
( 470, 2731 )
( 475, 2742 )
( 480, 2753 )
( 485, 2764 )
( 490, 2774 )
( 495, 2785 )
( 500, 2795 )
( 505, 2806 )
( 510, 2815 )
( 515, 2825 )
( 520, 2833 )
( 525, 2843 )
( 530, 2851 )
( 535, 2859 )
( 540, 2868 )
( 545, 2876 )
( 550, 2884 )
( 555, 2893 )
( 560, 2901 )
( 565, 2909 )
( 570, 2917 )
( 575, 2925 )
( 580, 2933 )
( 585, 2940 )
( 590, 2947 )
( 595, 2955 )
( 600, 2962 )
( 605, 2970 )
( 610, 2977 )
( 615, 2984 )
( 620, 2992 )
( 625, 2998 )
