( 5, 36 )
( 10, 68 )
( 15, 97 )
( 20, 118 )
( 25, 129 )
( 30, 136 )
( 35, 140 )
( 40, 143 )
( 45, 146 )
( 50, 148 )
( 55, 150 )
( 60, 151 )
( 65, 152 )
( 70, 154 )
( 75, 155 )
( 80, 156 )
( 85, 157 )
( 90, 158 )
( 95, 159 )
( 100, 160 )
( 105, 161 )
( 110, 161 )
( 115, 162 )
( 120, 163 )
( 125, 164 )
( 130, 164 )
( 135, 165 )
( 140, 165 )
( 145, 166 )
( 150, 166 )
( 155, 167 )
( 160, 167 )
( 165, 168 )
( 170, 168 )
( 175, 169 )
( 180, 169 )
( 185, 169 )
( 190, 170 )
( 195, 170 )
( 200, 171 )
( 205, 171 )
( 210, 171 )
( 215, 172 )
( 220, 172 )
( 225, 172 )
( 230, 173 )
( 235, 173 )
( 240, 174 )
( 245, 174 )
( 250, 175 )
( 255, 175 )
( 260, 176 )
( 265, 176 )
( 270, 177 )
( 275, 177 )
( 280, 178 )
( 285, 178 )
( 290, 179 )
( 295, 179 )
( 300, 179 )
( 305, 180 )
( 310, 180 )
( 315, 181 )
( 320, 181 )
( 325, 181 )
( 330, 182 )
( 335, 182 )
( 340, 182 )
( 345, 183 )
( 350, 183 )
( 355, 184 )
( 360, 184 )
( 365, 184 )
( 370, 185 )
( 375, 185 )
( 380, 186 )
( 385, 186 )
( 390, 186 )
( 395, 187 )
( 400, 187 )
( 405, 187 )
( 410, 188 )
( 415, 188 )
( 420, 188 )
( 425, 189 )
( 430, 189 )
( 435, 189 )
( 440, 190 )
( 445, 190 )
( 450, 190 )
( 455, 191 )
( 460, 191 )
( 465, 191 )
( 470, 192 )
( 475, 192 )
( 480, 192 )
( 485, 192 )
( 490, 192 )
( 495, 193 )
( 500, 193 )
( 505, 193 )
( 510, 193 )
( 515, 194 )
( 520, 194 )
( 525, 194 )
( 530, 194 )
( 535, 194 )
( 540, 194 )
( 545, 195 )
( 550, 195 )
( 555, 195 )
( 560, 195 )
( 565, 196 )
( 570, 196 )
( 575, 196 )
( 580, 197 )
( 585, 197 )
( 590, 198 )
( 595, 198 )
( 600, 199 )
( 605, 200 )
( 610, 201 )
( 615, 202 )
( 620, 203 )
( 625, 204 )
( 630, 205 )
( 635, 207 )
( 640, 208 )
( 645, 209 )
( 650, 211 )
( 655, 212 )
( 660, 214 )
( 665, 215 )
( 670, 217 )
( 675, 218 )
( 680, 220 )
( 685, 222 )
( 690, 223 )
( 695, 225 )
( 700, 227 )
( 705, 228 )
( 710, 230 )
( 715, 231 )
( 720, 233 )
( 725, 235 )
( 730, 237 )
( 735, 238 )
( 740, 240 )
( 745, 242 )
( 750, 244 )
( 755, 246 )
( 760, 248 )
( 765, 249 )
( 770, 251 )
( 775, 253 )
( 780, 255 )
( 785, 257 )
( 790, 259 )
( 795, 261 )
( 800, 263 )
( 805, 265 )
( 810, 267 )
( 815, 269 )
( 820, 271 )
( 825, 273 )
( 830, 276 )
( 835, 278 )
( 840, 279 )
( 845, 282 )
( 850, 284 )
( 855, 286 )
( 860, 288 )
( 865, 291 )
( 870, 293 )
( 875, 295 )
( 880, 298 )
( 885, 300 )
( 890, 302 )
( 895, 304 )
( 900, 307 )
( 905, 309 )
( 910, 312 )
( 915, 314 )
( 920, 316 )
( 925, 319 )
( 930, 321 )
( 935, 324 )
( 940, 327 )
( 945, 329 )
( 950, 331 )
( 955, 334 )
( 960, 336 )
( 965, 339 )
( 970, 341 )
( 975, 344 )
( 980, 346 )
( 985, 349 )
( 990, 352 )
( 995, 354 )
( 1000, 357 )
( 1005, 359 )
( 1010, 362 )
( 1015, 364 )
( 1020, 367 )
( 1025, 370 )
( 1030, 373 )
( 1035, 376 )
( 1040, 379 )
( 1045, 381 )
( 1050, 384 )
( 1055, 387 )
( 1060, 389 )
( 1065, 392 )
( 1070, 395 )
( 1075, 397 )
( 1080, 400 )
( 1085, 402 )
( 1090, 405 )
( 1095, 408 )
( 1100, 410 )
( 1105, 413 )
( 1110, 416 )
( 1115, 418 )
( 1120, 421 )
( 1125, 424 )
( 1130, 426 )
( 1135, 429 )
( 1140, 432 )
( 1145, 434 )
( 1150, 436 )
( 1155, 439 )
( 1160, 442 )
( 1165, 445 )
( 1170, 448 )
( 1175, 451 )
( 1180, 455 )
( 1185, 457 )
( 1190, 461 )
( 1195, 464 )
( 1200, 467 )
( 1205, 470 )
( 1210, 473 )
( 1215, 477 )
( 1220, 480 )
