( 55, 111.3 )
( 105, 164.7 )
( 155, 173.2 )
( 205, 176.5 )
( 255, 157.2 )
( 305, 155.7 )
( 355, 194.3 )
( 405, 158.4 )
( 455, 166.4 )
( 505, 155.6 )
( 555, 174.7 )
( 605, 158.2 )
( 655, 166.2 )
( 705, 211.4 )
( 755, 191.8 )
( 805, 214.5 )
( 855, 177.6 )
( 905, 252.1 )
( 955, 217.6 )
( 1005, 234.0 )
( 1055, 214.5 )
( 1105, 231.5 )
( 1155, 214.0 )
( 1205, 217.1 )
( 1255, 246.9 )
( 1305, 238.3 )
( 1355, 258.6 )
( 1405, 263.3 )
( 1455, 266.6 )
( 1505, 235.0 )
( 1555, 209.4 )
( 1605, 216.5 )
( 1655, 445.8 )
( 1705, 251.9 )
( 1755, 344.1 )
