( 86, 585.5 )
( 126, 904.4 )
( 166, 1138.9 )
( 206, 1339.0 )
( 246, 1498.5 )
( 286, 1645.4 )
( 330, 1644.3 )
( 374, 1761.8 )
( 414, 1756.0 )
( 454, 1814.6 )
( 494, 1856.2 )
( 534, 1889.2 )
( 578, 1873.3 )
( 618, 1900.6 )
( 662, 1810.3 )
( 702, 2001.8 )
( 742, 1908.8 )
( 782, 1967.3 )
( 822, 1929.3 )
( 862, 1995.8 )
( 902, 2021.4 )
( 942, 1947.4 )
( 982, 1989.8 )
( 1022, 1920.1 )
( 1062, 2033.7 )
( 1102, 2066.2 )
( 1142, 1998.8 )
( 1186, 1922.8 )
( 1226, 1984.2 )
( 1266, 2030.3 )
( 1306, 2074.6 )
( 1346, 1972.8 )
( 1386, 2106.3 )
( 1426, 1984.4 )
( 1466, 2101.4 )
( 1506, 1804.6 )
( 1546, 2109.7 )
( 1586, 2041.4 )
( 1626, 2034.4 )
( 1666, 2028.4 )
( 1706, 2104.5 )
( 1746, 2019.7 )
( 1786, 2049.1 )
( 1826, 2142.4 )
( 1866, 2074.3 )
( 1906, 2055.5 )
( 1946, 2169.3 )
( 1986, 1994.8 )
( 2026, 2141.9 )
( 2066, 2140.6 )
( 2106, 2085.9 )
( 2146, 2094.1 )
( 2186, 2241.9 )
( 2226, 2171.2 )
( 2266, 2202.0 )
( 2306, 1991.3 )
( 2346, 2051.2 )
( 2386, 2187.6 )
( 2426, 2122.7 )
( 2466, 2156.0 )
( 2506, 2077.2 )
( 2546, 2138.6 )
( 2590, 2122.3 )
( 2630, 2295.2 )
( 2670, 2221.8 )
( 2710, 2132.5 )
( 2750, 2136.5 )
( 2790, 2221.1 )
( 2830, 2331.5 )
( 2870, 2119.5 )
( 2910, 2199.8 )
( 2954, 2228.8 )
( 2994, 2211.4 )
( 3034, 2231.1 )
( 3074, 2153.6 )
( 3114, 2198.6 )
( 3154, 2199.7 )
( 3198, 2241.9 )
( 3238, 2197.3 )
( 3278, 2222.2 )
( 3318, 2188.3 )
( 3358, 2131.8 )
( 3398, 2173.2 )
( 3438, 2206.9 )
( 3478, 2149.4 )
( 3518, 2293.8 )
( 3558, 2225.9 )
( 3598, 2281.8 )
