( 106, 5.680762290591252 )
( 166, 5.589146329369237 )
( 226, 6.152109916175532 )
( 286, 7.307474720947932 )
( 346, 6.6015207544622365 )
( 406, 6.3044523485688995 )
( 466, 5.757802755967471 )
( 526, 6.392491693139453 )
( 586, 7.2477096558346314 )
( 646, 6.958610624995104 )
( 706, 8.10629880578348 )
( 766, 7.634954617919533 )
( 826, 7.782434526397629 )
( 886, 6.429320099967982 )
( 946, 7.882677493309696 )
( 1014, 6.202470365509636 )
( 1074, 6.136935585848403 )
( 1134, 6.189677464960465 )
( 1194, 6.95019459577094 )
( 1254, 5.640545120730511 )
( 1314, 5.582885974983196 )
( 1374, 5.685534619091868 )
( 1434, 5.884812844749922 )
( 1494, 5.117541839062054 )
( 1554, 5.997787385890317 )
( 1614, 6.1073378080237095 )
( 1674, 5.957560778642448 )
( 1734, 6.297973285310895 )
( 1794, 6.259448173002058 )
( 1854, 6.940789600142143 )
( 1914, 6.0958175381728 )
( 1974, 6.944123708796302 )
( 2034, 6.425320435499101 )
( 2094, 5.908705683215521 )
( 2154, 5.403688027349954 )
( 2214, 5.286694230425868 )
( 2274, 5.499951619734318 )
( 2334, 6.213582169270571 )
( 2394, 6.127863956880284 )
( 2454, 6.425286237935032 )
( 2514, 5.223394871521076 )
( 2574, 5.546672094459707 )
( 2634, 5.575244567829915 )
( 2694, 5.840668941296848 )
( 2754, 5.631618673871045 )
( 2814, 5.378614660141366 )
( 2874, 5.687823761838264 )
( 2934, 6.0152517588026875 )
( 2994, 6.299990111697702 )
( 3054, 5.6077338466094035 )
( 3114, 5.366298377835145 )
( 3174, 5.689100113728064 )
( 3234, 5.348688622488492 )
( 3294, 5.0775285691505525 )
( 3354, 4.986440597336849 )
( 3414, 5.821689422481945 )
( 3474, 5.334401187393495 )
( 3534, 5.102856778269388 )
( 3594, 5.805064404969147 )
