( 50, 2 )
( 54, 78 )
( 58, 257 )
( 62, 780 )
( 66, 5 )
( 70, 265 )
( 74, 348 )
( 78, 30 )
( 82, 43 )
( 86, 465 )
( 90, 164 )
( 94, 317 )
( 98, 342 )
( 102, 12 )
( 106, 115 )
( 110, 17 )
( 114, 1 )
( 118, 35 )
( 122, 9 )
( 126, 8 )
( 130, 110 )
( 134, 104 )
( 138, 23 )
( 142, 23 )
( 146, 289 )
( 150, 103 )
( 154, 19 )
( 158, 46 )
( 162, 9 )
( 166, 19 )
( 170, 20 )
( 174, 21 )
( 178, 6 )
( 182, 3 )
( 186, 9 )
( 190, 125 )
( 194, 20 )
( 198, 0 )
( 202, 15 )
( 206, 46 )
( 210, 16 )
( 214, 20 )
( 218, 20 )
( 222, 16 )
( 226, 176 )
( 230, 192 )
( 234, 42 )
( 238, 137 )
( 242, 7 )
( 246, 54 )
( 250, 82 )
( 254, 6 )
( 258, 188 )
( 262, 360 )
( 266, 81 )
( 270, 363 )
( 274, 42 )
( 278, 119 )
( 282, 84 )
( 286, 202 )
( 290, 53 )
( 294, 10 )
( 298, 58 )
( 302, 99 )
( 306, 306 )
( 310, 36 )
( 314, 121 )
( 318, 60 )
( 322, 21 )
( 326, 89 )
( 330, 8 )
( 334, 457 )
( 338, 742 )
( 342, 39 )
( 346, 109 )
( 350, 14 )
( 354, 1 )
( 358, 154 )
( 362, 33 )
( 366, 2 )
( 370, 118 )
( 374, 62 )
( 378, 112 )
( 382, 38 )
( 386, 118 )
( 390, 16 )
( 394, 123 )
( 398, 169 )
( 402, 82 )
( 406, 9 )
( 410, 70 )
( 414, 46 )
( 418, 58 )
( 422, 257 )
( 426, 19 )
( 430, 79 )
( 434, 26 )
( 438, 14 )
( 442, 238 )
( 446, 176 )
( 450, 113 )
( 454, 252 )
( 458, 18 )
( 462, 694 )
( 466, 31 )
( 470, 446 )
( 474, 285 )
( 478, 212 )
( 482, 161 )
( 486, 81 )
( 490, 75 )
( 494, 43 )
( 498, 9 )
( 502, 116 )
( 506, 71 )
( 510, 96 )
( 514, 73 )
( 518, 40 )
( 522, 9 )
( 526, 123 )
( 530, 85 )
( 534, 111 )
( 538, 7 )
( 542, 313 )
( 546, 26 )
( 550, 331 )
( 554, 34 )
( 558, 244 )
( 562, 143 )
( 566, 71 )
( 570, 52 )
( 574, 157 )
( 578, 304 )
( 582, 604 )
( 586, 340 )
( 590, 23 )
( 594, 32 )
( 598, 38 )
( 602, 409 )
( 606, 63 )
( 610, 58 )
( 614, 164 )
( 618, 321 )
( 622, 90 )
( 626, 32 )
( 630, 222 )
( 634, 244 )
( 638, 207 )
( 642, 214 )
( 646, 20 )
( 650, 550 )
( 654, 146 )
( 658, 383 )
( 662, 245 )
( 666, 231 )
( 670, 143 )
( 674, 343 )
( 678, 722 )
( 682, 157 )
( 686, 176 )
( 690, 203 )
( 694, 23 )
( 698, 396 )
( 702, 81 )
( 706, 7 )
( 710, 17 )
( 714, 520 )
( 718, 654 )
( 722, 276 )
( 726, 1197 )
( 730, 17 )
( 734, 120 )
( 738, 161 )
( 742, 350 )
( 746, 5 )
( 750, 130 )
( 754, 129 )
( 758, 52 )
( 762, 239 )
( 766, 272 )
( 770, 170 )
( 774, 200 )
( 778, 41 )
( 782, 261 )
( 786, 80 )
( 790, 159 )
( 794, 305 )
( 798, 263 )
( 802, 403 )
( 806, 107 )
( 810, 411 )
( 814, 76 )
( 818, 236 )
( 822, 676 )
( 826, 68 )
( 830, 532 )
( 834, 253 )
( 838, 510 )
( 842, 501 )
( 846, 182 )
( 850, 361 )
( 854, 121 )
( 858, 326 )
( 862, 349 )
( 866, 1 )
( 870, 35 )
( 874, 112 )
( 878, 99 )
( 882, 384 )
( 886, 90 )
( 890, 106 )
( 894, 163 )
( 898, 38 )
( 902, 557 )
( 906, 11 )
( 910, 329 )
( 914, 252 )
( 918, 678 )
( 922, 1143 )
( 926, 264 )
( 930, 460 )
( 934, 103 )
( 938, 122 )
( 942, 218 )
( 946, 16 )
( 950, 135 )
( 954, 49 )
( 958, 384 )
( 962, 70 )
( 966, 218 )
( 970, 367 )
( 974, 527 )
( 978, 356 )
( 982, 259 )
( 986, 11 )
( 990, 315 )
( 994, 182 )
( 998,
( 1002, 211 )
( 1006, 51 )
( 1010, 577 )
( 1014, 469 )
( 1018, 51 )
( 1022, 483 )
( 1026, 703 )
( 1030, 583 )
( 1034, 77 )
( 1038, 269 )
( 1042, 504 )
( 1046, 304 )
( 1050, 115 )
( 1054, 119 )
( 1058, 496 )
( 1062, 1000 )
( 1066, 438 )
( 1070, 962 )
( 1074, 1771 )
( 1078, 661 )
( 1082, 46 )
( 1086, 39 )
( 1090, 238 )
( 1094, 227 )
( 1098, 378 )
( 1102, 58 )
( 1106, 812 )
( 1110, 252 )
( 1114, 439 )
( 1118, 221 )
( 1122, 84 )
( 1126, 103 )
( 1130, 381 )
( 1134, 83 )
( 1138, 274 )
( 1142, 655 )
( 1146, 999 )
( 1150, 337 )
( 1154, 421 )
( 1158, 537 )
( 1162, 75 )
( 1166, 243 )
( 1170, 294 )
( 1174, 337 )
( 1178, 180 )
( 1182, 418 )
( 1186, 356 )
( 1190, 208 )
( 1194, 80 )
( 1198, 240 )
( 1202, 235 )
( 1206, 42 )
( 1210, 245 )
( 1214, 637 )
( 1218, 690 )
( 1222, 155 )
( 1226, 304 )
( 1230, 250 )
( 1234, 346 )
( 1238, 648 )
( 1242, 265 )
( 1246, 1125 )
( 1250, 359 )
( 1254, 630 )
( 1258, 587 )
( 1262, 376 )
( 1266, 690 )
( 1270, 229 )
( 1274, 728 )
( 1278, 617 )
( 1282, 596 )
( 1286, 657 )
( 1290, 439 )
( 1294, 372 )
( 1298, 263 )
( 1302, 143 )
( 1306, 123 )
( 1310, 106 )
( 1314, 195 )
( 1318, 117 )
( 1322, 748 )
( 1326, 47 )
( 1330, 627 )
( 1334, 466 )
( 1338, 881 )
( 1342, 1356 )
( 1346, 318 )
( 1350, 71 )
( 1354, 165 )
( 1358, 433 )
( 1362, 608 )
( 1366, 219 )
( 1370, 356 )
( 1374, 445 )
( 1378, 1449 )
( 1382, 650 )
( 1386, 556 )
( 1390, 513 )
( 1394, 772 )
( 1398, 754 )
( 1402, 976 )
( 1406, 161 )
( 1410, 561 )
( 1414, 256 )
( 1418, 511 )
( 1422, 998 )
( 1426, 396 )
( 1430, 406 )
( 1434, 749 )
( 1438, 141 )
( 1442, 393 )
( 1446, 691 )
( 1450, 1663 )
( 1454, 133 )
( 1458, 343 )
( 1462, 211 )
( 1466, 306 )
( 1470, 349 )
( 1474, 283 )
( 1478, 392 )
( 1482, 557 )
( 1486, 256 )
( 1490, 55 )
( 1494, 429 )
( 1498, 146 )
( 1502, 557 )
( 1506, 194 )
( 1510, 236 )
( 1514, 152 )
( 1518, 200 )
( 1522, 379 )
( 1526, 675 )
( 1530, 738 )
( 1534, 309 )
( 1538, 738 )
( 1542, 424 )
( 1546, 495 )
( 1550, 41 )
( 1554, 118 )
( 1558, 342 )
( 1562, 82 )
( 1566, 1793 )
( 1570, 519 )
( 1574, 124 )
( 1578, 634 )
( 1582, 484 )
( 1586, 271 )
( 1590, 797 )
( 1594, 844 )
( 1598, 214 )
( 1602, 813 )
( 1606, 506 )
( 1610, 246 )
( 1614, 336 )
( 1618, 266 )
( 1622, 440 )
( 1626, 297 )
( 1630, 109 )
( 1634, 381 )
( 1638, 1463 )
( 1642, 889 )
( 1646, 230 )
( 1650, 354 )
( 1654, 665 )
( 1658, 406 )
( 1662, 604 )
( 1666, 313 )
( 1670, 1126 )
( 1674, 571 )
( 1678, 1752 )
( 1682, 594 )
( 1686, 1178 )
( 1690, 407 )
( 1694, 98 )
( 1698, 215 )
( 1702, 1482 )
( 1706, 398 )
( 1710, 633 )
( 1714, 1702 )
( 1718, 711 )
( 1722, 421 )
( 1726, 495 )
( 1730, 1303 )
( 1734, 577 )
( 1738, 476 )
( 1742, 664 )
( 1746, 276 )
( 1750, 490 )
( 1754, 1131 )
( 1758, 224 )
( 1762, 277 )
( 1766, 369 )
( 1770, 172 )
( 1774, 122 )
( 1778, 687 )
( 1782, 1099 )
( 1786, 242 )
( 1790, 1261 )
( 1794, 1324 )
( 1798, 454 )
( 1802, 1409 )
( 1806, 1037 )
( 1810, 439 )
( 1814, 395 )
( 1818, 417 )
( 1822, 569 )
( 1826, 1164 )
