( 50, 1444 )
( 54, 1995 )
( 58, 2556 )
( 62, 2892 )
( 66, 2567 )
( 70, 2026 )
( 74, 3482 )
( 78, 2582 )
( 82, 2292 )
( 86, 3082 )
( 90, 2507 )
( 94, 3269 )
( 98, 2462 )
( 102, 608 )
( 106, 606 )
( 110, 555 )
( 114, 2885 )
( 118, 3718 )
( 122, 3269 )
( 126, 2676 )
( 130, 3533 )
( 134, 1778 )
( 138, 2860 )
( 142, 3247 )
( 146, 3137 )
( 150, 4149 )
( 154, 3813 )
( 158, 3274 )
( 162, 3003 )
( 166, 3375 )
( 170, 3198 )
( 174, 3637 )
( 178, 3442 )
( 182, 3697 )
( 186, 2594 )
( 190, 4295 )
( 194, 2042 )
( 198, 3663 )
( 202, 4174 )
( 206, 3825 )
( 210, 5231 )
( 214, 2815 )
( 218, 2792 )
( 222, 5361 )
( 226, 2178 )
( 230, 4302 )
( 234, 1852 )
( 238, 2813 )
( 242, 2970 )
( 246, 3835 )
( 250, 4320 )
( 254, 4214 )
( 258, 2325 )
( 262, 3414 )
( 266, 2956 )
( 270, 4040 )
( 274, 3439 )
( 278, 2820 )
( 282, 3772 )
( 286, 3172 )
( 290, 2496 )
( 294, 2586 )
( 298, 3853 )
( 302, 5626 )
( 306, 3266 )
( 310, 4459 )
( 314, 4910 )
( 318, 3771 )
( 322, 4483 )
( 326, 3799 )
( 330, 3797 )
( 334, 2746 )
( 338, 3324 )
( 342, 4706 )
( 346, 3063 )
( 350, 2508 )
( 354, 3938 )
( 358, 4948 )
( 362, 1250 )
( 366, 1608 )
( 370, 2007 )
( 374, 1465 )
( 378, 1831 )
( 382, 1735 )
( 386, 1275 )
( 390, 1582 )
( 394, 1708 )
( 398, 892 )
( 402, 1912 )
( 406, 1967 )
( 410, 1868 )
( 414, 1725 )
( 418, 1922 )
( 422, 1355 )
( 426, 1645 )
( 430, 1175 )
( 434, 1518 )
( 438, 2063 )
( 442, 2318 )
( 446, 2095 )
( 450, 1753 )
( 454, 1961 )
( 458, 1607 )
( 462, 1818 )
( 466, 1673 )
( 470, 1887 )
( 474, 2069 )
( 478, 1472 )
( 482, 2424 )
( 486, 2073 )
( 490, 1994 )
( 494, 1263 )
( 498, 2496 )
( 502, 314 )
( 506, 1581 )
( 510, 2194 )
( 514, 1794 )
( 518, 1859 )
( 522, 1261 )
( 526, 1824 )
( 530, 2408 )
( 534, 1944 )
( 538, 1957 )
( 542, 364 )
( 546, 1951 )
( 550, 1934 )
( 554, 1239 )
( 558, 2466 )
( 562, 1346 )
( 566, 1913 )
( 570, 2186 )
( 574, 2263 )
( 578, 2515 )
( 582, 338 )
( 586, 2292 )
( 590, 1451 )
( 594, 2165 )
( 598, 1567 )
