( 50, 162 )
( 54, 161 )
( 58, 31 )
( 62, 33 )
( 66, 83 )
( 70, 140 )
( 74, 52 )
( 78, 182 )
( 82, 168 )
( 86, 152 )
( 90, 129 )
( 94, 131 )
( 98, 185 )
( 102, 97 )
( 106, 20 )
( 110, 0 )
( 114, 165 )
( 118, 123 )
( 122, 202 )
( 126, 192 )
( 130, 165 )
( 134, 203 )
( 138, 192 )
( 142, 196 )
( 146, 224 )
( 150, 146 )
( 154, 214 )
( 158, 196 )
( 162, 212 )
( 166, 137 )
( 170, 204 )
( 174, 221 )
( 178, 191 )
( 182, 201 )
( 186, 218 )
( 190, 217 )
( 194, 220 )
( 198, 215 )
( 202, 217 )
( 206, 221 )
( 210, 213 )
( 214, 223 )
( 218, 215 )
( 222, 215 )
( 226, 220 )
( 230, 205 )
( 234, 230 )
( 238, 232 )
( 242, 217 )
( 246, 220 )
( 250, 216 )
( 254, 223 )
( 258, 229 )
( 262, 226 )
( 266, 233 )
( 270, 233 )
( 274, 231 )
( 278, 227 )
( 282, 221 )
( 286, 241 )
( 290, 239 )
( 294, 235 )
( 298, 236 )
( 302, 229 )
( 306, 228 )
( 310, 249 )
( 314, 224 )
( 318, 229 )
( 322, 229 )
( 326, 250 )
( 330, 235 )
( 334, 244 )
( 338, 248 )
( 342, 242 )
( 346, 238 )
( 350, 248 )
( 354, 236 )
( 358, 257 )
( 362, 60 )
( 366, 40 )
( 370, 8 )
( 374, 60 )
( 378, 34 )
( 382, 35 )
( 386, 158 )
( 390, 183 )
( 394, 5 )
( 398, 178 )
( 402, 112 )
( 406, 10 )
( 410, 54 )
( 414, 104 )
( 418, 37 )
( 422, 114 )
( 426, 82 )
( 430, 159 )
( 434, 34 )
( 438, 4 )
( 442, 12 )
( 446, 50 )
( 450, 153 )
( 454, 55 )
( 458, 120 )
( 462, 159 )
( 466, 83 )
( 470, 115 )
( 474, 150 )
( 478, 92 )
( 482, 14 )
( 486, 49 )
( 490, 175 )
( 494, 174 )
( 498, 17 )
( 502, 2 )
( 506, 116 )
( 510, 136 )
( 514, 167 )
( 518, 142 )
( 522, 177 )
( 526, 176 )
( 530, 15 )
( 534, 166 )
( 538, 127 )
( 542, 0 )
( 546, 124 )
( 550, 153 )
( 554, 196 )
( 558, 54 )
( 562, 119 )
( 566, 130 )
( 570, 49 )
( 574, 63 )
( 578, 12 )
( 582, 0 )
( 586, 41 )
( 590, 29 )
( 594, 188 )
( 598, 185 )
( 602, 154 )
( 606, 141 )
( 610, 143 )
( 614, 135 )
( 618, 139 )
( 622, 1 )
( 626, 133 )
( 630, 99 )
( 634, 137 )
( 638, 81 )
( 642, 192 )
( 646, 151 )
( 650, 57 )
( 654, 142 )
( 658, 142 )
( 662, 13 )
( 666, 184 )
( 670, 186 )
( 674, 179 )
( 678, 121 )
( 682, 53 )
( 686, 141 )
( 690, 58 )
( 694, 192 )
( 698, 168 )
( 702, 130 )
( 706, 156 )
( 710, 164 )
( 714, 76 )
( 718, 73 )
( 722, 87 )
( 726, 191 )
( 730, 134 )
( 734, 143 )
( 738, 172 )
( 742, 98 )
( 746, 132 )
( 750, 145 )
( 754, 117 )
( 758, 75 )
( 762, 185 )
( 766, 180 )
( 770, 80 )
( 774, 182 )
( 778, 183 )
( 782, 6 )
( 786, 175 )
( 790, 188 )
( 794, 184 )
( 798, 190 )
( 802, 78 )
( 806, 137 )
( 810, 143 )
( 814, 91 )
( 818, 64 )
( 822, 46 )
( 826, 99 )
( 830, 191 )
( 834, 197 )
( 838, 179 )
( 842, 180 )
( 846, 104 )
( 850, 149 )
( 854, 143 )
( 858, 159 )
( 862, 49 )
( 866, 45 )
( 870, 137 )
( 874, 178 )
( 878, 184 )
( 882, 155 )
( 886, 128 )
( 890, 175 )
( 894, 193 )
( 898, 200 )
( 902, 42 )
( 906, 182 )
( 910, 66 )
( 914, 154 )
( 918, 194 )
( 922, 162 )
( 926, 189 )
( 930, 142 )
( 934, 141 )
( 938, 137 )
( 942, 94 )
( 946, 72 )
( 950, 195 )
( 954, 140 )
( 958, 146 )
( 962, 65 )
( 966, 136 )
( 970, 189 )
( 974, 174 )
( 978, 197 )
( 982, 10 )
( 986, 128 )
( 990, 174 )
( 994,
( 998,
( 1002, 139 )
( 1006, 181 )
( 1010, 208 )
( 1014, 186 )
( 1018, 145 )
( 1022, 161 )
( 1026, 142 )
( 1030, 151 )
( 1034, 192 )
( 1038, 201 )
( 1042, 170 )
( 1046, 189 )
( 1050, 123 )
( 1054, 168 )
( 1058, 209 )
( 1062, 155 )
( 1066, 162 )
( 1070, 204 )
( 1074, 159 )
( 1078, 143 )
( 1082, 182 )
( 1086, 182 )
( 1090, 199 )
( 1094, 174 )
( 1098, 184 )
( 1102, 106 )
( 1106, 161 )
( 1110, 149 )
( 1114, 128 )
( 1118, 187 )
( 1122, 176 )
( 1126, 124 )
( 1130, 198 )
( 1134, 185 )
( 1138, 128 )
( 1142, 163 )
( 1146, 141 )
( 1150, 182 )
( 1154, 123 )
( 1158, 204 )
( 1162, 209 )
( 1166, 139 )
( 1170, 134 )
( 1174, 197 )
( 1178, 174 )
( 1182, 194 )
( 1186, 42 )
( 1190, 194 )
( 1194, 183 )
( 1198, 201 )
( 1202, 196 )
( 1206, 196 )
( 1210, 161 )
( 1214, 204 )
( 1218, 194 )
( 1222, 99 )
( 1226, 3 )
( 1230, 200 )
( 1234, 174 )
( 1238, 150 )
( 1242, 159 )
( 1246, 199 )
( 1250, 140 )
( 1254, 176 )
( 1258, 187 )
( 1262, 216 )
( 1266, 17 )
( 1270, 193 )
( 1274, 195 )
( 1278, 211 )
( 1282, 75 )
( 1286, 170 )
( 1290, 205 )
( 1294, 199 )
( 1298, 149 )
( 1302, 159 )
( 1306, 23 )
( 1310, 169 )
( 1314, 197 )
( 1318, 214 )
( 1322, 191 )
( 1326, 197 )
( 1330, 193 )
( 1334, 197 )
( 1338, 190 )
( 1342, 206 )
( 1346, 34 )
( 1350, 201 )
( 1354, 218 )
( 1358, 193 )
( 1362, 197 )
( 1366, 153 )
( 1370, 169 )
( 1374, 210 )
( 1378, 199 )
( 1382, 187 )
( 1386, 3 )
( 1390, 208 )
