[NodeSet]:32		[PeerSet]:0		[12-bit Zone]:0 [0/s]		[Response]:            6.25%		[Queue]:33		
[NodeSet]:70		[PeerSet]:4		[12-bit Zone]:0 [0/s]		[Response]:            10.00%		[Queue]:68		
[NodeSet]:98		[PeerSet]:70		[12-bit Zone]:0 [0/s]		[Response]:            12.24%		[Queue]:95		
[NodeSet]:109		[PeerSet]:216		[12-bit Zone]:0 [0/s]		[Response]:            12.84%		[Queue]:106		
[NodeSet]:113		[PeerSet]:309		[12-bit Zone]:0 [0/s]		[Response]:            13.27%		[Queue]:108		
[NodeSet]:119		[PeerSet]:602		[12-bit Zone]:0 [0/s]		[Response]:            15.97%		[Queue]:135		
[NodeSet]:119		[PeerSet]:686		[12-bit Zone]:0 [0/s]		[Response]:            16.81%		[Queue]:138		
[NodeSet]:119		[PeerSet]:899		[12-bit Zone]:0 [0/s]		[Response]:            20.17%		[Queue]:161		
[NodeSet]:119		[PeerSet]:1083		[12-bit Zone]:0 [0/s]		[Response]:            23.53%		[Queue]:185		
[NodeSet]:119		[PeerSet]:1192		[12-bit Zone]:0 [0/s]		[Response]:            26.05%		[Queue]:200		
[NodeSet]:119		[PeerSet]:1236		[12-bit Zone]:0 [0/s]		[Response]:            26.89%		[Queue]:200		
[NodeSet]:119		[PeerSet]:1275		[12-bit Zone]:0 [0/s]		[Response]:            27.73%		[Queue]:200		
[NodeSet]:119		[PeerSet]:1318		[12-bit Zone]:0 [0/s]		[Response]:            28.57%		[Queue]:200		
[NodeSet]:119		[PeerSet]:1352		[12-bit Zone]:0 [0/s]		[Response]:            29.41%		[Queue]:200		
[NodeSet]:119		[PeerSet]:1393		[12-bit Zone]:0 [0/s]		[Response]:            30.25%		[Queue]:200		
[NodeSet]:126		[PeerSet]:1397		[12-bit Zone]:0 [0/s]		[Response]:            29.37%		[Queue]:200		
[NodeSet]:127		[PeerSet]:1442		[12-bit Zone]:0 [0/s]		[Response]:            29.92%		[Queue]:200		
[NodeSet]:127		[PeerSet]:1480		[12-bit Zone]:0 [0/s]		[Response]:            30.71%		[Queue]:200		
[NodeSet]:127		[PeerSet]:1487		[12-bit Zone]:0 [0/s]		[Response]:            31.50%		[Queue]:200		
[NodeSet]:132		[PeerSet]:1542		[12-bit Zone]:0 [0/s]		[Response]:            31.06%		[Queue]:200		
[NodeSet]:132		[PeerSet]:1584		[12-bit Zone]:0 [0/s]		[Response]:            31.82%		[Queue]:200		
[NodeSet]:132		[PeerSet]:1631		[12-bit Zone]:0 [0/s]		[Response]:            32.58%		[Queue]:200		
[NodeSet]:132		[PeerSet]:1663		[12-bit Zone]:0 [0/s]		[Response]:            33.33%		[Queue]:200		
[NodeSet]:132		[PeerSet]:1695		[12-bit Zone]:0 [0/s]		[Response]:            34.09%		[Queue]:200		
[NodeSet]:132		[PeerSet]:1722		[12-bit Zone]:0 [0/s]		[Response]:            34.85%		[Queue]:200		
[NodeSet]:132		[PeerSet]:1752		[12-bit Zone]:0 [0/s]		[Response]:            35.61%		[Queue]:200		
[NodeSet]:132		[PeerSet]:1777		[12-bit Zone]:0 [0/s]		[Response]:            36.36%		[Queue]:200		
[NodeSet]:132		[PeerSet]:1818		[12-bit Zone]:0 [0/s]		[Response]:            37.12%		[Queue]:200		
[NodeSet]:140		[PeerSet]:1818		[12-bit Zone]:0 [0/s]		[Response]:            35.71%		[Queue]:200		
[NodeSet]:148		[PeerSet]:1818		[12-bit Zone]:0 [0/s]		[Response]:            34.46%		[Queue]:200		
[NodeSet]:154		[PeerSet]:1818		[12-bit Zone]:0 [0/s]		[Response]:            33.77%		[Queue]:200		
[NodeSet]:155		[PeerSet]:1848		[12-bit Zone]:0 [0/s]		[Response]:            34.19%		[Queue]:200		
[NodeSet]:155		[PeerSet]:1866		[12-bit Zone]:0 [0/s]		[Response]:            34.84%		[Queue]:200		
[NodeSet]:155		[PeerSet]:1892		[12-bit Zone]:0 [0/s]		[Response]:            35.48%		[Queue]:200		
[NodeSet]:155		[PeerSet]:1919		[12-bit Zone]:0 [0/s]		[Response]:            36.13%		[Queue]:200		
[NodeSet]:155		[PeerSet]:1938		[12-bit Zone]:0 [0/s]		[Response]:            36.77%		[Queue]:200		
[NodeSet]:155		[PeerSet]:1964		[12-bit Zone]:0 [0/s]		[Response]:            37.42%		[Queue]:200		
[NodeSet]:155		[PeerSet]:1980		[12-bit Zone]:0 [0/s]		[Response]:            38.06%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2003		[12-bit Zone]:0 [0/s]		[Response]:            38.71%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2024		[12-bit Zone]:0 [0/s]		[Response]:            39.35%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2046		[12-bit Zone]:0 [0/s]		[Response]:            40.00%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2069		[12-bit Zone]:0 [0/s]		[Response]:            40.65%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2082		[12-bit Zone]:0 [0/s]		[Response]:            41.29%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2099		[12-bit Zone]:0 [0/s]		[Response]:            44.52%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2124		[12-bit Zone]:0 [0/s]		[Response]:            45.16%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2130		[12-bit Zone]:0 [0/s]		[Response]:            45.81%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2159		[12-bit Zone]:0 [0/s]		[Response]:            46.45%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2161		[12-bit Zone]:0 [0/s]		[Response]:            47.10%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2179		[12-bit Zone]:0 [0/s]		[Response]:            47.74%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2192		[12-bit Zone]:0 [0/s]		[Response]:            48.39%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2207		[12-bit Zone]:0 [0/s]		[Response]:            51.61%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2222		[12-bit Zone]:0 [0/s]		[Response]:            52.26%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2222		[12-bit Zone]:0 [0/s]		[Response]:            52.90%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2244		[12-bit Zone]:0 [0/s]		[Response]:            53.55%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2250		[12-bit Zone]:0 [0/s]		[Response]:            54.19%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2258		[12-bit Zone]:0 [0/s]		[Response]:            54.84%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2272		[12-bit Zone]:0 [0/s]		[Response]:            58.06%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2288		[12-bit Zone]:0 [0/s]		[Response]:            58.71%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2288		[12-bit Zone]:0 [0/s]		[Response]:            59.35%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2311		[12-bit Zone]:0 [0/s]		[Response]:            60.00%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2320		[12-bit Zone]:0 [0/s]		[Response]:            60.65%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2333		[12-bit Zone]:0 [0/s]		[Response]:            61.29%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2347		[12-bit Zone]:0 [0/s]		[Response]:            64.52%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2361		[12-bit Zone]:0 [0/s]		[Response]:            65.16%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2376		[12-bit Zone]:0 [0/s]		[Response]:            65.81%		[Queue]:200		
[NodeSet]:155		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            66.45%		[Queue]:200		
[NodeSet]:163		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            63.80%		[Queue]:200		
[NodeSet]:171		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            61.40%		[Queue]:200		
[NodeSet]:179		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            59.22%		[Queue]:200		
[NodeSet]:186		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            57.53%		[Queue]:200		
[NodeSet]:194		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            55.67%		[Queue]:200		
[NodeSet]:202		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            53.96%		[Queue]:200		
[NodeSet]:210		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            52.38%		[Queue]:200		
[NodeSet]:218		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            50.92%		[Queue]:200		
[NodeSet]:225		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            49.78%		[Queue]:200		
[NodeSet]:233		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            48.50%		[Queue]:200		
[NodeSet]:241		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            47.30%		[Queue]:200		
[NodeSet]:249		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            46.18%		[Queue]:200		
[NodeSet]:250		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            46.40%		[Queue]:200		
[NodeSet]:251		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            46.61%		[Queue]:200		
[NodeSet]:259		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            45.56%		[Queue]:200		
[NodeSet]:267		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            44.57%		[Queue]:200		
[NodeSet]:275		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            43.64%		[Queue]:200		
[NodeSet]:283		[PeerSet]:2385		[12-bit Zone]:0 [0/s]		[Response]:            42.76%		[Queue]:200		
[NodeSet]:283		[PeerSet]:2396		[12-bit Zone]:0 [0/s]		[Response]:            43.11%		[Queue]:200		
[NodeSet]:283		[PeerSet]:2396		[12-bit Zone]:0 [0/s]		[Response]:            44.88%		[Queue]:195		
[NodeSet]:283		[PeerSet]:2431		[12-bit Zone]:0 [0/s]		[Response]:            45.58%		[Queue]:200		
[NodeSet]:283		[PeerSet]:2441		[12-bit Zone]:0 [0/s]		[Response]:            45.94%		[Queue]:200		
[NodeSet]:283		[PeerSet]:2453		[12-bit Zone]:0 [0/s]		[Response]:            46.29%		[Queue]:200		
