( 5, 1.00000000000000000000 )
( 10, .99733333333333333333 )
( 15, .97733333333333333333 )
( 20, .93300000000000000000 )
( 25, .89300000000000000000 )
( 30, .85533333333333333333 )
( 35, .82066666666666666666 )
( 40, .79200000000000000000 )
( 45, .76933333333333333333 )
( 50, .75000000000000000000 )
( 55, .72966666666666666666 )
( 60, .71100000000000000000 )
( 65, .69433333333333333333 )
( 70, .67933333333333333333 )
( 75, .66733333333333333333 )
( 80, .65566666666666666666 )
( 85, .64400000000000000000 )
( 90, .63233333333333333333 )
( 95, .62033333333333333333 )
( 100, .60966666666666666666 )
( 105, .59866666666666666666 )
( 110, .58833333333333333333 )
( 115, .57933333333333333333 )
( 120, .57066666666666666666 )
( 125, .56200000000000000000 )
( 130, .55266666666666666666 )
( 135, .54433333333333333333 )
( 140, .53700000000000000000 )
( 145, .52866666666666666666 )
